"galaxy_id","redshift_result","redshift_alt_result","optical_u","optical_v","optical_g","optical_r","optical_i","optical_z","infrared_three_six","infrared_four_five","infrared_five_eight","infrared_eight_zero","infrared_H","infrared_J","infrared_K","radio_one_four"
"66373","7.878","[""roob.org""]","4.17432","1","1.76394","2.19893","6.95979","5.88629","0.56641","2.31563","5.33748","6.71559","1.79315","4.03261","6.06764","4.25158"
"71383","3.493","[""lowe.biz""]","1.9277","1","9.63098","2.00483","0.07235","3.88182","1.44955","8.55253","6.05027","0.45241","3.97423","0.28074","8.12722","3.27084"
"16127","9.507","[""williamson.net""]","1.53956","1","7.424","5.82476","5.8981","5.52564","8.74218","2.7297","0.59505","5.87082","7.23096","8.82982","6.32729","3.00625"
"4451","8.847","["""",""imag05.jpg""]","4.60487","1","4.87934","2.33723","8.1323","3.3476","3.76383","0.37859","8.46569","6.07131","1.01616","3.79175","4.91708","2.264"
"68735","0.139","["""",""imag05.jpg""]","4.46212","1","5.98131","6.81757","5.51749","8.29556","3.12593","5.44819","7.59849","9.37696","2.5259","6.58171","8.92813","5.67775"
"66424","4.644","[""littel.com""]","4.96662","1","4.67287","2.28917","3.91826","9.46019","9.79494","2.91895","0.80956","2.094","0.669","1.61973","3.58465","6.80068"
"5786","2.758","["""",""imag01.jpg""]","9.45362","1","1.2521","6.34381","1.01039","3.01395","3.83547","2.8251","7.5112","2.94579","4.40314","6.5197","0.2578","9.32744"
"79973","1.727","["""",""imag02.jpg""]","5.17818","1","0.602","1.54251","8.02241","5.78303","6.66043","6.18483","9.26631","9.61708","3.58049","8.51465","1.63917","6.13086"
"84505","0.967","[""prosacco.com""]","8.61392","1","2.1996","2.0106","8.13943","4.43455","1.26983","8.50205","1.87239","1.70932","8.70739","1.90047","0.64145","4.73111"
"12139","2.458","["""",""imag01.jpg""]","3.14912","1","8.83041","3.54655","1.427","3.63695","2.14254","6.67776","7.94209","9.63858","4.54376","7.69048","1.89966","8.71105"
"67964","2.335","[""jerde.info""]","6.74743","1","2.12984","2.80677","5.26414","8.90324","1.15625","8.58056","4.02618","8.83463","4.81608","8.0768","4.21432","8.39288"
"27056","6.704","[""kuphal.biz""]","3.61778","1","0.36394","0.12737","3.71122","4.51749","1.43343","6.33835","3.69184","9.3583","8.76194","5.4917","5.44566","7.88541"
"35733","5.913","[""krajcik.com""]","4.48794","1","7.21198","5.81935","9.92071","5.95985","7.0563","7.77477","0.52505","8.798","3.28992","8.19693","0.85213","3.75854"
"86684","1.381","["""",""imag03.jpg""]","0.56433","1","2.76399","3.59237","5.24037","7.20027","7.75592","4.39923","9.59508","4.74198","3.10738","6.49306","2.26873","5.23248"
"713","8.46","["""",""imag01.jpg""]","4.28041","1","0.89598","9.32907","6.16215","3.87484","0.56522","1.94028","1.95162","9.98575","1.03125","8.4975","5.86298","5.67905"
"38043","8.309","[""parker.com""]","9.23902","1","4.12783","7.28306","2.823","5.10213","8.80752","3.89451","1.11198","8.21218","7.74114","7.88372","8.05425","0.9355"
"80434","5.283","[""leffler.net""]","1.22006","1","4.75773","3.55817","4.78262","7.6261","4.98283","6.95183","5.06973","8.55496","0.25455","1.95055","4.69354","9.74549"
"47518","9.628","["""",""imag03.jpg""]","5.00044","1","6.14649","4.11369","4.9384","6.49558","6.62291","1.26929","9.69313","9.24584","0.52274","8.11045","5.15913","3.09217"
"15380","9.671","["""",""imag01.jpg""]","2.96918","1","2.63446","8.50786","6.71938","3.78413","0.99533","3.53378","5.88579","1.38817","7.72874","3.4846","1.33066","2.36861"
"80631","4.925","[""tromp.com""]","3.51368","1","8.74644","8.15145","7.25662","4.1111","7.63637","0.33254","2.96571","2.41957","5.17076","8.97324","8.37864","3.81386"
"1247","2.796","[""marvin.net""]","5.17603","1","4.76499","5.52258","5.66126","8.52183","1.83229","9.54854","3.76275","9.39398","9.41084","8.44562","1.35132","5.72909"
"60081","3.827","["""",""imag02.jpg""]","3.71509","1","8.08756","6.31766","7.74908","7.53485","0.99975","6.27455","5.93499","3.07766","3.88141","3.45132","3.89819","6.78073"
"43462","1.433","[""okuneva.com""]","9.11512","1","5.7711","6.75986","5.32534","3.59603","6.77193","5.38737","6.37617","1.02861","7.73011","4.99881","1.32513","5.93639"
